Symbol,Market Cap,Sector,Industry
BTCM,306843914,Consumer Services,Movies/Entertainment
BTI,88824638819,Consumer Non-Durables,Farming/Seeds/Milling
BTO,738442598,Finance,Investment Managers
BTT,1852886406,Finance,Investment Managers
BTU,1077714405,Energy,Coal Mining
BTZ,1481642134,Finance,Finance Companies
BUD,1.37807E+11,Consumer Non-Durables,Beverages (Production/Distribution)
BUI,517412611,Finance,Trusts Except Educational Religious and Charitable
BUR,2350405180,Consumer Non-Durables,Farming/Seeds/Milling
BURL,21990095245,Consumer Non-Durables,Apparel
BV,1717662330,Miscellaneous,Other Consumer Services
BVH,370872442,Consumer Services,Hotels/Resorts
BVN,2092851784,Basic Industries,Precious Metals
BW,654957481,Capital Goods,Industrial Machinery/Components
BW^A,,,
BWA,11541474115,Capital Goods,Auto Parts:O.E.M.
BWG,214431746,Finance,Finance/Investors Services
BWSN,0,Capital Goods,Building Products
BWXT,5519138402,Consumer Services,Military/Government/Technical
BX,71832813121,Finance,Investment Managers
BXC,435435252,Capital Goods,Wholesale Distributors
BXMT,4672743919,Consumer Services,Real Estate Investment Trusts
BXMX,1498850453,Finance,Investment Managers
BXP,18527574455,Consumer Services,Real Estate Investment Trusts
BXS,2817618591,Finance,Major Banks
BXS^A,,,
BY,876117355,Finance,Major Banks
BYD,6526470050,Consumer Services,Hotels/Resorts
BYM,424084744,Finance,Investment Managers
BZH,558913323,Capital Goods,Homebuilding
C,1.43536E+11,Finance,Major Banks
C^J,,,
C^K,,,
C^N,,,
CAAP,913883771,Transportation,Aerospace
CABO,11592480195,Consumer Services,Telecommunications Equipment
CACI,6139438761,Technology,EDP Services
CADE,2545631984,Finance,Commercial Banks
CAE,8923343987,,
CAF,490363631,Finance,Investment Managers
CAG,17244490859,Consumer Non-Durables,Packaged Foods
CAH,16666096927,Health Care,Other Pharmaceuticals
CAI,967136793,Technology,Diversified Commercial Services
CAI^A,,,
CAI^B,,,
CAJ,23739061742,Miscellaneous,Industrial Machinery/Components
CAL,1012954209,Consumer Non-Durables,Shoe Manufacturing
CALX,2692644754,Technology,Computer Software: Prepackaged Software
CANG,710798142,Technology,Computer Software: Prepackaged Software
CANO,5725714212,,
CAP,429956250,Finance,Specialty Insurers
CAPL,730227455,,
